started at:,,,,,,
1543328077,9,,q1,,q1,9
1543328086,6,,q2,,q2,12
1543328092,6,,q3,,q3,21
1543328098,6,,q2,,q4,28
1543328104,15,,q3,,q5,32
1543328119,15,,q4,,q6,17
1543328134,14,,q5,,q7,14
1543328148,7,,q6,,,
1543328155,13,,q4,,,
1543328168,18,,q5,,suma,133
1543328186,10,,q6,,,
1543328196,14,,q7,,,
client end time in sec:,,,,,,
1543328210,,,,,,
,,,,,,
,,,,,,
suma,133,,,,,
,,,,,,
,,,,,,
1543328209 - 1543328077,132,,,,,
,,,,,,
duración según timings table,138.43,,,,,
